iter	Passed	Remaining
0	167	167652
1	175	87707
2	183	60922
3	191	47786
4	201	40194
5	211	35024
6	220	31275
7	230	28546
8	239	26374
9	248	24631
10	257	23176
11	266	21933
12	274	20855
13	282	19927
14	291	19130
15	300	18457
16	308	17820
17	317	17302
18	325	16828
19	334	16411
20	343	15993
21	351	15647
22	360	15300
23	369	15010
24	377	14741
25	387	14507
26	396	14273
27	404	14042
28	413	13845
29	422	13648
30	430	13472
31	439	13288
32	448	13154
33	457	13002
34	466	12856
35	474	12716
36	483	12592
37	492	12476
38	501	12356
39	510	12247
40	519	12141
41	527	12043
42	537	11951
43	546	11876
44	555	11779
45	564	11701
46	572	11610
47	581	11533
48	590	11460
49	598	11377
50	607	11310
51	616	11237
52	625	11172
53	633	11100
54	643	11050
55	652	11002
56	663	10982
57	674	10949
58	684	10910
59	693	10864
60	702	10809
61	710	10755
62	719	10704
63	728	10652
64	737	10609
65	745	10556
66	755	10520
67	763	10469
68	773	10432
69	781	10386
70	790	10345
71	799	10299
72	808	10261
73	816	10219
74	825	10178
75	834	10146
76	843	10112
77	853	10087
78	862	10050
79	871	10017
80	879	9977
81	888	9946
82	897	9919
83	907	9894
84	916	9867
85	925	9838
86	935	9819
87	944	9787
88	953	9761
89	962	9736
90	972	9712
91	982	9697
92	991	9672
93	1001	9653
94	1010	9629
95	1019	9602
96	1028	9575
97	1037	9548
98	1046	9524
99	1055	9495
100	1064	9471
101	1072	9445
102	1082	9424
103	1090	9396
104	1099	9370
105	1108	9345
106	1117	9323
107	1126	9300
108	1134	9275
109	1143	9254
110	1152	9230
111	1161	9212
112	1170	9187
113	1179	9166
114	1187	9141
115	1196	9117
116	1205	9095
117	1213	9071
118	1222	9050
119	1230	9023
120	1239	9005
121	1248	8982
122	1257	8965
123	1265	8943
124	1274	8922
125	1283	8904
126	1292	8887
127	1301	8866
128	1310	8845
129	1319	8830
130	1328	8814
131	1337	8796
132	1346	8778
133	1355	8759
134	1363	8739
135	1372	8721
136	1381	8703
137	1390	8687
138	1399	8669
139	1408	8652
140	1417	8635
141	1426	8621
142	1436	8609
143	1449	8615
144	1459	8604
145	1470	8601
146	1481	8597
147	1491	8585
148	1501	8576
149	1511	8564
150	1520	8547
151	1531	8543
152	1541	8531
153	1551	8524
154	1561	8511
155	1571	8503
156	1582	8497
157	1592	8486
158	1603	8479
159	1614	8477
160	1625	8470
161	1638	8474
162	1650	8474
163	1660	8466
164	1671	8456
165	1684	8462
166	1695	8458
167	1710	8470
168	1722	8467
169	1731	8456
170	1742	8449
171	1753	8442
172	1763	8430
173	1775	8427
174	1785	8417
175	1796	8409
176	1805	8394
177	1814	8380
178	1824	8368
179	1833	8352
180	1844	8344
181	1855	8338
182	1864	8325
183	1875	8315
184	1883	8299
185	1893	8287
186	1902	8272
187	1911	8257
188	1920	8241
189	1929	8224
190	1939	8213
191	1947	8196
192	1956	8182
193	1965	8164
194	1976	8158
195	1985	8146
196	1995	8132
197	2004	8118
198	2013	8103
199	2022	8090
200	2031	8075
201	2041	8065
202	2050	8051
203	2059	8036
204	2068	8023
205	2077	8006
206	2086	7994
207	2095	7979
208	2104	7966
209	2114	7953
210	2123	7941
211	2133	7929
212	2142	7915
213	2151	7903
214	2162	7895
215	2172	7884
216	2183	7878
217	2192	7864
218	2202	7853
219	2211	7839
220	2219	7824
221	2229	7812
222	2239	7803
223	2248	7790
224	2258	7777
225	2267	7765
226	2276	7753
227	2286	7740
228	2295	7729
229	2304	7716
230	2314	7703
231	2323	7689
232	2331	7675
233	2339	7659
234	2348	7646
235	2359	7638
236	2368	7626
237	2377	7612
238	2385	7596
239	2395	7585
240	2403	7570
241	2412	7555
